; LGEO Elements List
;
; For use with Lars C. Hassings L3P version x.xx and up
;
; Ldraw	LGEO	LG_Flags (L=LGEO, S=Slope, A=AntonRaves)
259	0259	L
2593	2593	L
2599	2599	L
26	0026	L
2605	2605	L
2605c01	2605c01	L
2606	2606	L
2607	2607	L
2609	2609	L
2609	2609a	L
2610	2610	L
2614	2614	L
2617	2617	LS
262	0262	L
2620	2620	L
2625	2625	L
2626	2626	L
2637	2637	L
2639	2639	L
2642	2642	LS
2653	2653	L
2654	2654	L
2655	2655	L
26603	26603	L
26604	26604	L
2671	2671	L
2672	2672	L
2677	2677	L
2678	2678	L
2680	2680	L
2681	2681	L
2682	2682	L
2683	2683	L
2684	2684	L
2684c01	2684c01	L
2685	2685	L
2686	2686	L
2686c01	2686c01	L
2687	2687	L
2688	2688	L
2694	2694	L
2695	2695	L
2696	2696	LS
2697	2697	L
27	0027	L
2711	2711	L
2712	2712	L
2713	2713	L
2714	2714	L
2719	2719	L
272	0272	L
2723	2723	L
27263	27263	L
2730	2730	L
2736	2736	L
2739	2739a	L
274	0274	L
2743	2743	L
2744	2744	L
2745	2745	L
2748	2748	L
275	0275	LS
2771	2771	L
2772c03	2772	L
2772-f1	2772c01	L
2772-f2	2772c02	L
2772-f3	2772c03	L
2773	2773	L
2774	2774	L
2774c01	2774c01	L
278	0278	L
2780	2780	L
2793	2793	L
2795	2795	L
2796	2796	L
2797	2797	L
2798	2798	L
2799	2799	L
27	0027a	L
27ac01	0027ac01	L
27b	0027b	L
27bc01	0027bc01	L
27c	0027	L
27cc01	0027cc01	L
28	0028	L
2804	2804	L
2815	2815	L
2817	2817	L
2819	2819	L
2825	2825	L
2826	2826	L
2837	2837	L
2837b	2837b	L
2838	2838	L
2838c01	2838c01	L
2839	2839a	L
2852	2852	L
2855	2855	L
2856	2856	L
286	0286	L
287	0287	L
2872	2872	L
2873	2873	L
2875	2875	LS
2876	2876	LS
2877	2877	L
2878	2878	L
2878c01	2878c01	L
2879	2879	L
2879c01	2879c01	L
288	0288	L
2880	2880	L
29	0029	L
2905	2905	L
29119	29119	L
29120	29120	L
2920	2920	L
2921	2921	L
2923	2923	L
2926	2926	L
2927	2927	L
293	0293	L
294	0294	L
2944	2944	L
295	0295	L
2952	2952	L
2958	2958	L
2959	2959	L
2959c01	2959c01	L
296	0296	L
297	0297	L
298	0298	L
2986c01	2986c01	L
298c01	0298c01	L
299	0299	L
2994	2994	L
2995	2995	L
2996	2996	L
2997	2997	L
2998	2998	L
29	0029a	L
29ac01	0029ac01	L
29b	0029b	L
29bc01	0029bc01	L
29c	0029	L
29cc01	0029cc01	L
3	0003	L
30000	30000	L
30002	30002	L
30007	30007	L
30009	30009	L
3001	3001	L
30010	30010	L
3001pk1	3001pk1	L
3002	3002	L
30022	30022	L
30027	30027	L
30027	30027a	L
30027b	30027b	L
30028	30028	L
3003	3003	L
30030	30030	L
30030p01	30030p01	L
30031	30031	L
3003126	3003126	L
30033	30033	L
30037	30037	L
30039	30039	L
3003p0	3003p0a	L
3003p0b	3003p0b	L
3003pe1	3003pe1	L
3003pe2	3003pe2	L
3004	3004	L
300401	300401	L
300421	300421	L
30043	30043	L
30044	30044	L
30045	30045	LS
30046	30046	L
3004p01	3004p01	L
3004p03	3004p03	L
3004p05	3004p05	L
3004p06	3004p06	L
3004p12	3004p12	L
3004p20	3004p20	L
3004p90	3004p90	L
3004pz0	3004pz0	L
3004pz1	3004pz1	L
3004pz2	3004pz2	L
3004pz4	3004pz4	L
3004pz5	3004pz5	L
3005-o	3005	L
3005p02	30055	L
3005p03	30056	L
3005p04	30057	L
3005p05	3005741	L
3005pe3	30059	L
3005pt1	3005p04	L
3006	3006	L
30060	30060	L
30062	30062	L
30065	30065	L
3007	3007	L
30071	30071	L
30072	30072	L
30076	30076	L
30077	30077	L
30079	30079	L
3008	3008	L
30080	30080	L
3009	3009	L
30093	30093	L
30095	30095	L
30099	30099	L
3010	3010	L
30106	30106	L
3010p04	3010p04	L
3010p05	3010p05	L
3010p42	3010p42	L
3010pz0	3010pz0	L
3010pz1	3010pz1	L
3010pz2	3010pz2	L
3010pz3	3010pz3	L
3010pz4	3010pz4	L
3010pz5	3010pz5	L
3010pz6	3010pz6	L
3010pz7	3010pz7	L
3010pz8	3010pz8	L
3010pz9	3010pz9	L
3010pz	3010pza	L
3010pzc	3010pz	L
3010pz	3010pzd	L
3010pze	3010pze	L
3010pzf	3010pzf	L
3010pzg	3010pzg	L
3010pzh	3010pzh	L
3010pzi	3010pz	L
3010pzk	3010pzk	L
3010pzq	3010pzq	L
