; LGEO Elements List
;
; For use with Lars C. Hassings L3P version x.xx and up
;
; Ldraw	LGEO	LG_Flags (L=LGEO, S=Slope, A=AntonRaves)
4211807	4211807	L
4211815	4211815	L
4212	4212	L
4212	4212a	L
4212b	4212b	L
4213	4213	L
4214	4214	L
4214921	4214921	L
4215	4215	L
4215	4215a	L
4215ap10	4215ap10	L
4215b	4215b	L
4216	4216	L
4217	4217	L
4218	4218	L
4218868	4218868	L
4218b	4218b	L
4219	4219	L
4219b	4219b	L
422	0422	L
4220	4220	L
4220	4220a	L
4220b	4220b	L
4221	4221	L
4221774	4221774	L
4221858	4221858	L
4221886	4221886	L
4222693	4222693	L
4223189	4223189	L
4225787	4225787	L
4226869	4226869	L
4226995	4226995	L
4228	4228	L
4229	4229	L
4234927	4234927	L
4234932	4234932	L
424	0424	L
4240416	4240416	L
4243824	4243824	L
42445	42445	L
42446	42446	L
425	0425	L
4255	4255	L
425p01	0425p01	L
4261	4261	L
42610	42610	L
4261453	4261453	L
4262	4262	L
4263	4263	L
4263624	4263624	L
4265	4265	L
4265	4265a	L
4265b	4265b	L
4265c	4265	L
4266	4266	L
4267	4267	LS
427	0427	L
4270181	4270181	L
4273	4273	L
4273	4273a	L
4273b	4273b	L
4274	4274	L
4275	4275	L
4275	4275a	L
4275b	4275b	L
4276	4276	L
4276	4276a	L
4276b	4276b	L
428	0428	L
4282	4282	L
4284	4284	L
4285	4285	L
4285	4285a	L
4285b	4285b	L
4286	4286	LS
4287	4287	LS
4287707	4287707	L
4287708	4287708	L
4288	4288	L
4289	4289	L
4294998	4294998	L
4296152	4296152	L
43093	43093	L
43123	43123	L
4315	4315	L
4318	4318	L
4319	4319	L
4345	4345	L
4345	4345a	L
4345b	4345b	L
4346	4346	L
4346p60	4346p60	L
4346p61	4346p61	L
4346p68	4346p68	L
4346ps2	4346ps2	L
4349	4349	L
4360	4360	L
43710	43710	L
43711	43711	L
43712	43712	L
43719	43719	L
43720	43720	L
43721	43721	L
43722	43722	L
43723	43723	L
43857	43857	L
43888	43888	L
43892	43892	L
43898	43898	L
44	0044	L
44042	44042	L
44126	44126	L
44237	44237	L
44294	44294	L
44300	44300	L
44301	44301	L
44302	44302	L
44375	44375a	L
44375b	44375b	L
4442	4442	L
4444	4444	L
4444p03	4444p03	L
4445	4445	LS
4447	4447	L
4448	4448	L
4449-f1	4449	L
4449-f2	4449c01	L
445	0445	L
4452	4452	L
44567	44567	L
44568	44568	L
44570	44570	L
44572	44572	L
4459	4459	L
446	0446	L
4460	4460	LS
4460	4460a	LS
4460b	4460b	LS
4461	4461	L
4466	4466	L
4467	4467	L
44674	44674	L
44728	44728	L
4474	4474	L
4474p61	4474p61	L
4475	4475	L
4476	4476	L
4477	4477	L
4478	4478	L
4478p01	4478p01	L
4479	4479	L
44822	44822	L
4485	4485	L
4488	4488	L
4489	4489	L
4490	4490	L
45	0045	L
4504	4504	L
4504369	4504369	L
4504371	4504371	L
4505	4505	L
4506697	4506697	L
4507	4507	L
4508	4508	L
4509	4509	LS
4510	4510	L
4515	4515	L
4515p02	4515p02	L
4519	4519	L
4522	4522	L
4528	4528	L
4529	4529	L
453	0453	L
4531	4531	L
4532	4532	L
4533	4533	L
4534	4534	L
4535	4535	L
4536	4536	L
453	0453a	L
453ac01	0453ac01	L
453b	0453b	L
453bc01	0453bc01	L
453c	0453	L
453cc01	0453cc01	L
45417	45417	L
45590	45590	L
45677	45677	L
4587	4587	L
4588	4588	L
4589	4589	L
4590	4590	L
4591	4591	L
4592	4592	L
4592c01	4592c01	L
4593	4593	L
4594	4594	L
4595	4595	L
4596	4596	L
4597	4597	L
4598	4598	L
4599	4599	L
459923	459923	L
4599	4599a	L
4599b	4599b	L
4600	4600	L
4601	4601	L
4607	4607	L
461	0461	LS
4617	4617	L
4617	4617a	L
4617b	4617b	L
4623	4623	L
4624	4624	L
4625	4625	L
4626	4626	L
4688	4688	L
4697	4697a	L
4697b	4697b	L
47	0047	L
4701	4701	L
4728	4728	L
4729	4729	L
4730	4730	L
4732	4732	L
4733	4733	L
4735	4735	L
4736	4736	L
4737	4737	L
47397	47397	L
47398	47398	L
4740	4740	L
47407	47407	L
4741	4741	L
4742	4742	L
4743	4743	L
4744	4744	L
47455	47455	L
47457	47457	L
4746	4746	L
4755	4755	L
4757	4757	L
4758	4758	L
476	0476	L
4760	4760	L
4760c01	4760c01	L
4760p01	4760p01	L
4760p01c01	4760p01c01	L
4761	4761	L
4762	4762	L
4767	4767a	L
4768	4768	L
4769	4769	L
4770	4770	L
4771	4771	L
4771	4771a	L
4772	4772	L
4773	4773a	L
4774	4774	L
4774c01	4774c01	L
47753	47753	L
47755	47755	L
4784	4784	L
47905	47905	L
47975	47975	L
47998	47998	L
48	0048	LS
48092	48092	L
481	0481	L
48171	48171	L
48183	48183	L
482	0482	L
48288	48288	L
48336	48336	L
4854	4854	LS
4855	4855	LS
4856	4856	LS
4857	4857	LS
4858	4858	LS
4858p01	4858p01	LS
4858p90	4858p90	LS
4859	4859	L
4861	4861	LS
4862	4862	L
4863	4863	L
4864	4864	L
4864	4864a	L
4864ap04	4864ap04	L
4864b	4864b	L
4865	4865	L
4865	4865a	L
4865b	4865b	L
4865bp01	4865bp01	L
4865bp02	4865bp02	L
4865bp03	4865bp03	L
4865p06	4865p06	L
4866	4866	L
4867	4867	L
4869	4869	L
4871	4871	LS
4872	4872	L
48729	48729	L
48729	48729a	L
48729b	48729b	L
4873	4873	L
48933	48933	LS
48989	48989	L
48995	48995	L
49059	49059	L
49668	49668	L
497	0497	L
5	0005	L
50	0050	L
50303	50303	L
50304	50304	L
50305	50305	L
50373	50373	LS
50745	50745	L
50746	50746	L
50943	50943	L
50944	50944	L
50946	50946	L
50950	50950	L
50951	50951	L
50990	50990a	L
50990b	50990b	L
51011	51011	L
51739	51739	L
52031	52031	L
52107	52107	L
52501	52501	LS
5306	5306	L
53451	53451	L
54196	54196	L
54200	54200	L
54383	54383	L
54384	54384	L
550	0550	L
55013	55013	L
556	0556	L
55707c	55707	L
56	0056	LS
56890	56890	L
57	0057	LS
571	0571	L
572	0572a	L
57515	57515	L
57518	57518	L
57520	57520	L
57585	57585	L
577	0577	L
577b	0577b	L
57908	57908	L
57909	57909	L
58181	58181	L
583	0583	L
58367	58367	L
59230	59230	L
59349	59349	L
59350	59350	L
59426	59426	L
59443	59443	L
59900	59900	L
6	0006	L
6002	6002	L
6003	6003	L
6005	6005	L
6014	6014	L
6015	6015	L
6016	6016	L
6019	6019	L
601926	601926	L
6020	6020	L
60212	60212	L
60219	60219	LS
6023	6023	L
6027	6027	L
6028	6028	L
6037	6037	L
604	0604	L
6041	6041	L
6044	6044	L
6046	6046	L
60470	60470	L
60470	60470a	L
60470b	60470b	L
60471	60471	L
60474	60474	L
60475	60475	L
60475	60475a	L
60477	60477	LS
60478	60478	L
60479	60479	L
6048	6048	L
60481	60481	LS
60483	60483	L
604ac01	0604ac01	L
604bc01	0604bc01	L
605	0605	L
6055	6055	L
6056	6056	L
6058	6058	L
60581	60581	L
6059	6059	L
60592	60592	L
606	0606	L
6060	6060	L
60601	60601	L
6061	6061	L
6063	6063	L
6064	6064	L
6066	6066	L
6069	6069	LS
606p01	0606p01	L
606p02	0606p02	L
606p33	0606p33	L
607	0607	L
6070	6070	L
6075	6075	L
6079	6079	L
607p01	0607p01	L
608	0608	L
6081	6081	L
6082	6082	L
6083	6083	L
60849	60849	L
6087	6087	L
60897	60897	L
608p01	0608p01	L
608p02	0608p02	L
608p03	0608p03	L
608p04	0608p04	L
608p33	0608p33	L
609	0609	L
6091	6091	L
6099	6099	L
6099p02	6099p02	L
6099p03	6099p03	L
6099p04	6099p04	L
6099p05	6099p05	L
6099p06	6099p06	L
609p01	0609p01	L
610	0610	L
6100	6100	L
6104	6104	L
6106	6106	L
61068	61068	L
6107	6107	L
6108	6108	L
610p01	0610p01	L
611	0611	L
6111	6111	L
6112	6112	L
6117	6117	L
6118	6118	L
61184	61184	L
6119	6119	L
611p01	0611p01	L
612	0612	L
6120	6120	L
61252	61252	L
612p01	0612p01	L
613	0613	L
6134	6134	L
61345	61345	L
613p01	0613p01	L
6140	6140	L
61409	61409	L
6141	6141	L
6143	6143	L
61485	61485	L
6152	6152	L
6153	6153	LS
6154	6154	L
6155	6155	L
6156	6156	L
6157	6157	L
6159	6159	L
6160	6160	L
6160	6160a	L
6160b	6160b	L
6167	6167	L
61678	61678	L
6168	6168	L
6168	6168a	L
6177	6177	L
6178	6178	L
6179	6179	L
6180	6180	L
6182	6182	L
6183	6183	L
6184	6184	L
6187	6187	L
6188	6188	L
618843	618843	L
6191	6191	L
6192	6192	L
62	0062	L
6205	6205	L
6208	6208	L
62113	62113	L
6212	6212	L
6213	6213	L
6215	6215	L
6218	6218	L
6219	6219	L
6221	6221	L
6222	6222	L
6231	6231	L
6232	6232	L
6233	6233	L
62360	62360	L
62361	62361	L
6238	6238	L
6238	6238a	L
62462	62462	L
6248	6248	L
6249	6249	L
62503	62503	L
6254	6254	L
6255	6255	L
6259	6259	L
6264	6264	L
6267	6267	L
6268	6268	L
6268	6268a	L
6268b	6268b	L
6269	6269	L
62712	62712	L
63864	63864	L
63868	63868	L
63965	63965	L
64	0064	L
64225	64225	L
64276	64276	L
64451	64451	L
645	0645	L
645	0645a	L
645ac01	0645ac01	L
645b	0645b	L
645bc01	0645bc01	L
645c	0645	L
645cc01	0645cc01	L
646	0646	L
64644	64644	L
646	0646a	L
646ac01	0646ac01	L
646b	0646b	L
646bc01	0646bc01	L
646c	0646	L
646cc01	0646cc01	L
647	0647	L
64727	64727	L
64799	64799	L
648	0648	L
649	0649	L
649p01	0649p01	L
649p02	0649p02	L
65	0065	L
6536	6536	L
6538	6538	L
6538	6538a	L
6538b	6538b	L
6541	6541	L
6542	6542a	L
6542b	6542b	L
6546	6546	L
6553	6553	L
6556	6556	L
6558	6558	L
6562	6562	L
6564	6564	L
6565	6565	L
6573	6573	L
6576	6576	L
6577	6577	L
6583	6583	L
6584	6584	L
6587	6587	L
6589	6589	L
6592	6592	L
6628	6628	L
6629	6629	L
6630	6630	L
6632	6632	L
6636	6636	L
663626	663626	L
6636p01	6636p01	L
6636p02	6636p02	L
6636p03	6636p03	L
6636p04	6636p04	L
6636p05	6636p05	L
675	0675	L
675p01	0675p01	L
676	0676	L
69	0069	L
6934	6934	L
7	0007	L
70	0070	L
700	0700	L
70023	70023	L
700	0700a	L
700b	0700b	L
702	0702	L
7026	7026	L
7026c	7026	L
7028	7028	L
7039	7039	L
7049	7049	L
7065	7065	L
7067	7067	L
708	0708	L
70864	70864	L
709	0709	L
70942	70942	L
71075	71075	L
71075	71075a	L
71076	71076	L
711	0711	L
71137	71137	L
71183	71183	L
71184	71184	L
712	0712	L
712	0712a	L
713	0713	L
713	0713a	L
715	0715	L
71874	71874	L
72454	72454	LS
728	0728	L
73071	73071	L
73081	73081	L
73092	73092	L
73200	73200	L
733	0733	L
73312	73312	L
73418	73418	L
73435	73435	L
73436	73436	L
73594	73594	L
73664	73664	L
73666	73666	L
73861	73861	L
74040	74040	L
74698	74698	L
750	0750	L
752	0752	L
755	0755	L
75535	75535	L
756	0756	L
757	0757	L
758	0758	L
759	0759	L
75902	75902	L
75902p02	75902p02	L
76385	76385	L
772	0772	L
772p01	0772p01	L
79	0079	L
792	0792	L
793	0793	L
7930	7930	L
794	0794	L
795	0795	L
799	0799	L
8	0008	L
80	0080	L
800	0800	L
801	0801	L
802	0802	L
80256	80256	L
80546	80546	L
80547	80547	L
80548	80548	L
80549	80549	L
80582	80582	L
80587	80587	L
80588	80588	L
80671	80671	L
80672	80672	L
809	0809	L
811	0811	L
821472hc01	821472hc01	L
821472ic01	821472ic01	L
825	0825	L
826	0826	L
837	0837	L
85861	85861	L
85863	85863	L
85940	85940	L
85975	85975	L
85984	85984	L
86208	86208	L
86500	86500	L
87079	87079	L
87079p08	87079p08	L
87079pz0	87079pz0	L
87079pz1	87079pz1	L
87079pz2	87079pz2	L
87079pz4	87079pz4	L
87079pz6	87079pz6	L
87079pz7	87079pz7	L
87079pz9	87079pz9	L
87079pz	87079pza	L
87079pz	87079pzd	L
87081	87081	L
87083	87083	L
87087	87087	L
87414	87414	L
87544	87544	L
87552	87552	L
87580	87580	L
87609	87609	L
87617	87617	L
87697	87697	L
87994	87994	L
87994p01	87994p01	L
88072	88072	L
88293	88293	L
88393	88393	L
88646	88646	L
88930	88930	L
88930pz0	88930pz0	L
88930pz1	88930pz1	L
89	0089	L
89201	89201	L
89	0089a	L
89b	0089b	L
9	0009	L
90	0090	L
90195	90195	L
902	0902	L
90258	90258	L
90398	90398	L
905	0905	L
905c01	0905c01	L
906	0906	L
91	0091	L
91049	91049	L
912	0912	L
91405	91405	L
915	0915	L
91501	91501	L
915p01	0915p01	L
915p02	0915p02	L
915p04	0915p04	L
91988	91988	L
921	0921	L
922	0922	L
92280	92280	L
923	0923	L
924	0924	L
92438	92438	L
9244	9244	L
925	0925	L
92593	92593	L
92690	92690	L
92946	92946	L
92947	92947	L
93	0093	L
93061	93061	L
93095	93095	L
9326-4	9326	L
9327	9327	L
93273	93273	L
93274	93274	L
9328	9328	L
9339	9339	L
9342	9342	L
9352	9352	L
93590	93590	L
93598	93598	L
93598pk0	93598pk0	L
93606	93606	L
94	0094	L
9401	9401	L
95	0095	L
95108	95108	L
95109	95109	L
9551	9551	L
9552	9552	L
9553	9553	L
9556	9556	L
9566	9566	L
96	0096	L
960	0960	L
961	0961	L
962	0962	LS
965	0965	L
967	0967	L
968	0968	L
969	0969	L
97	0097	L
970	0970	L
970c00	0970c00	L
971	0971	L
972	0972	L
973	0973	L
973p01	0973p01	L
973p02	0973p02	L
973p04	0973p04	L
973p13	0973p13	L
973p16	0973p16	L
973p1	0973p1a	L
973p1b	0973p1b	L
973p1c	0973p1	L
973p1j	0973p1j	L
973p1	0973p1t	L
973p1u	0973p1u	L
973p26	0973p26	L
973p28	0973p28	L
973p2	0973p2d	L
973p2f	0973p2f	L
973p51	0973p51	L
973p52	0973p52	L
973p61	0973p61	L
973p62	0973p62	L
973p63	0973p63	L
973p64	0973p64	L
973p66	0973p66	L
973p68	0973p68	L
973p69	0973p69	L
973p6	0973p6a	L
973p6b	0973p6b	L
973p6c	0973p6	L
973p6	0973p6d	L
973p6e	0973p6e	L
973p70	0973p70	L
973p73	0973p73	L
973p90	0973p90	L
973ps	0973pst	L
975	0975	L
976	0976	L
977	0977	L
98	0098	LS
981	0981	L
98100	98100	L
98138	98138	L
98138p07	98138p07	L
98138p0e	98138p0e	L
98138ps5	98138ps5	L
98138pz0	98138pz0	L
982	0982	L
98280	98280	L
98282	98282	L
98283	98283	L
98284	98284	L
98286	98286	L
98287	98287	L
983	0983	L
98374	98374	L
989	0989	L
99	0099	LS
99008	99008	L
99021	99021	L
991	0991	L
99206	99206	L
99207	99207	L
99253	99253	L
993	0993	L
99301	99301	LS
99774	99774	L
99780	99780	L
99781	99781	L
99784	99784	L
u1125	u1125	L
u1126	u1126	L
u151	u151	L
u66	u66	L
u66c01	u66c01	L
u66c02	u66c02	L
u66p01	u66p01	L
u66p01c01	u66p01c01	L
u66p01c02	u66p01c02	L
u9042	u9042	L
u9043	u9043	L
u9068	u9068	L
u9070	u9070	L
u9132	u9132	L
u9132c01	u9132c01	L
u9185	u9185	L
u9186	u9186	L
